constructorId,constructorRef,name,nationality,url,hexColor
29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,#FF0031
30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,#39A5EF
31,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,#800080
32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
33,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse,#FFEF18
34,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham,#004626
35,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara,#00008B
36,fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal,#EFA020
37,march,March,British,http://en.wikipedia.org/wiki/March_Engineering,#DD1B13
38,moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,#000000
39,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,#215BB2
40,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team),#0572E8
41,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House,#00CED1
42,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,#FFE23C
44,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun,#6B3A11
45,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella,#0087F9
46,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team),#233A7E
47,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team),#322945
48,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,#0060AF
49,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,#EFAD00
50,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing,#2F514A
51,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,#9D1B32
